Name,URL,Industry,Description
LIMRA Information Technology,http://www.limraitech.com/,Information Technology & Services,"LIMRA IT strives to be a partner that leading companies and public organizations in the areas of Public Administration, Government, Telecommunications, Banking, Healthcare services, Insurance, Pharmaceuticals turn to when they need innovative technology application.

LIMRA IT is a leading edge IT service provider, offering quality services in emerging new technologies like Service Oriented Architecture, Enterprise Portal development, ecommerce, Web enabling, b2b Integration, EDI Integration, Enterprise Application Integrations. SAP Implementation, Web methods Integration, Tera Data warehousing etc.
LIMRA IT offers a wide range of products developed using state of art technology for Health care industry at competitive prices. We have alliance partnership with leading product companies such as Exensys providing product solutions to lower to mid cap businesses for Accounting, Payroll, Document Management, Work flow, Point of Sales, Sales & Distribution, Manufacturing etc."
ELITE Information Technology,http://www.elite-mea.com/,Information Technology & Services,"Who we are

ELITE Information Technology was founded in 2007 by a dynamic individuals, sharing a passion for perfection and providing optimal, innovative and reliable solutions and services . With a vision, focus and dedication ELITE IT is an organization that provides services designed for the client’s need with commitment on providing excellent customer service.


Our Company Values 

Translating our technical strength into business value for our clients requires more than expertise and strategic alliances; it requires a team that thrives on understanding and solving problems. To cultivate this approach, and establish long-term direction, ELITE IT has developed a corporate vision and mission statement that communicates our core principles. 

Our Vision 
To enable excellence, by providing our customers with elite technologies and solutions

Our Mission
To provide state of art solutions and technologies, that empower us as the trusted solution provider in our market


Our Core Values 

At ELITE IT we Value our Clients and Partners by focusing on proving only best of breed solutions and technologies , with a Commitment and Accountability towards our promises and services with passion and excellence , our team believes in knowledge sharing and values perfection through their assigned tasks , with our Management Support and promise to improve through well-defined Approach and Framework.

Our Approach and Framework is designed to ensure our services and solutions are aligned with our client expectations, business strategy and goals. The principals of this Framework is based on the experience and training of our employees and adherence to proper service management processis to ensure our clientele are positioned to take advantage of increased productivity and efficiencies inherent in the IT solutions we deliver."
Information Technology Partners,http://www.itpnet.com/,Information Technology & Services,"Information Technology Partners, Inc. (ITP), founded in 1991, is a technology design and support services company specializing in distributed processing technologies.   ITP is a small sized company with business entities in Illinois, Michigan, and Wisconsin.  ITP provides services, such as, technology design, long-term technology support, technology best practice products, and application development to clients that specialize in manufacturing, distribution, retail, healthcare, and philanthropy.  The company is constructed upon the strength of a set of guiding values that are grounded in the fact that people are more important than “machines”.  ITP is committed to cultivating a shared risk/mutual commitment relationship that supports the growth and success of both our clients and staff through our honesty, integrity, and respect for the individual."
LIMRA Information Technology,http://www.limraitech.com/,Information Technology & Services,"LIMRA IT strives to be a partner that leading companies and public organizations in the areas of Public Administration, Government, Telecommunications, Banking, Healthcare services, Insurance, Pharmaceuticals turn to when they need innovative technology application.

LIMRA IT is a leading edge IT service provider, offering quality services in emerging new technologies like Service Oriented Architecture, Enterprise Portal development, ecommerce, Web enabling, b2b Integration, EDI Integration, Enterprise Application Integrations. SAP Implementation, Web methods Integration, Tera Data warehousing etc.
LIMRA IT offers a wide range of products developed using state of art technology for Health care industry at competitive prices. We have alliance partnership with leading product companies such as Exensys providing product solutions to lower to mid cap businesses for Accounting, Payroll, Document Management, Work flow, Point of Sales, Sales & Distribution, Manufacturing etc."
Byte Information Technology,http://byte.com.au/,Information Technology & Services,"Byte is an award-winning IT service organisation defined by our ability to improve business, solve customer problems, optimise operations and deliver digital transformation. 

As one of the leading digital transformation solution provider Byte delivers Cloud Solutions, Managed Services Support and Operations, Communications services including IP Telephony, Unified communications and business consulting.

We are a great team of vibrant people, empowering business at the speed of technology. We leverage our 20+ years of industry experience and our strategic partnerships to provide our customers with genuine solutions. This allows them to concentrate on what they do best: operating and growing their businesses.

Established in Melbourne in 1993, Byte collaborates with world class technology partners to ensure we provide the best advice and services to our clients - every time.  Our team of expert technology professionals are the key to the high quality and technically diverse services Byte provides, and we attribute much of our success to attracting, selecting and enabling the highest calibre of employees.

Byte is proud leading Telstra partner:

2016 Telstra Enterprise and Business partner of the year
2015 Telstra Enterprise and Business partner of the year"
Beta Information Technology,http://www.betait.net/,Information Technology & Services,"We are… A system integrator for Information & Communication Technology Infrastructure Solutions. Specialized in providing ICT infrastructure enterprise solutions (Cyber Security, Data Centers, & Enterprise Networking)

Our vision is… To be the leading system integrator for enterprise information & communication technology solutions with distinguished quality and high level of customer satisfaction, applying best practices and most efficient business model.

We provide… Multi-technology solutions for enterprise customers, who seek successful integration of complex systems & Services that satisfy customers’ business demands & assure business continuity:

   * Cyber Security Services & Technologies(SDDC & VM Security, TAPs, Network & Application Performance Management (NPM/APM), MDM/MAM, SIEM, Next Generation Firewalls / IPSs, Email Security, Advanced Security Gateways, NAC, DLP, Advanced Threat Protection (ATP)
   * Private Clouds (Open Stack, Virtualization & Orchestration, Cloud Backup, DR & Security)
   * Software Defined Systems (Software Defined Hyper-Converged Platforms for Storage & Network Open Flow, Control Panel, Application Panel, Network Functions Virtualization, Auto Provisioning of Services)
   * Wireless & Mobility Solutions (Wi-Fi Enterprise Infrastructure / BYOD, Wireless Security / IPS)
   * Data Center Solutions (Software Defined Data Centers (SDDC) & SDDC Security / Disaster Recovery, High Performance Storage / Compute Platforms & Data Center Bridging / Switching, Virtualization, Backup Systems, Application Delivery Controllers, DPI, & Proxies)

Our services include…
   * Consultation, Design, Implementation & Systems Integration of ICT Architectures
   * Project Management, Training, & Documentation with a unique Quality Assurance
   * Maintenance & Managed Services with SLA Metrics"
Bluecube Information Technology,http://www.bluecubeit.com/,Staffing & Recruiting,"Our Experts with complete life time experience. Well, We have taken the initiative career objectives of the students to work with our clients which provide useful it Training Programs.

The process of an IT project fairly depends on the experience and expertise of the people managing it. People with the right skills set assure complete project success, and deliver phenomenal value to client’s business.

Understanding the critical importance of people and their expertise that determines project success, BLUECUBE has brought into place ground-breaking, robust and quality-driven IT consulting services.

We help the IT industry in sourcing personnel with the right skills set. Our IT consulting services feature :

    Specialized expertise
    Fulfilment of short or long-term personnel needs
    Facilities and equipment (as per the demands of the IT project)
    Industry perspective & competition
    Independence & objectivity"
SI-TECH Information Technology Ltd,http://www.si-tech.com.cn/,Information Services,"The Official LinkedIn page for SI-TECH Information Technology Ltd.

Founded in 1995, SI-TECH is the integrated ICT solutions leader in Cloud, Big Data & Mobile-Internet era with the vision of being a global and professional software enterprise. We aim to develop top-class products and provide excellent service for our customers using innovative ideas and unique mehtods. At present our market includes mainland China, Hong Kong and Africa."
Intertech Information Technology and Marketing Inc.,http://www.intertech.com.tr/,Information Technology & Services,"Intertech was established in 1987 to serve financial institutions with a wide range of information technology solution and service portfolio. Over a quarter century of finance industry experience, Intertech offers innovative solutions to EMEA region with more than 1000 professionals.

Intertech offers solutions and services in 3 major areas:

- Software Development 
- Service Providing & Hosting
- Consultancy 

Since it was established, Intertech has developed 4 different core finance solutions and several Factoring & Leasing applications. The latest solution, “inter-Vision” integrated finance platform, is currently being used by 23 financial institutions in 7 countries (Austria, Bahrain, Germany, Northern Cyprus, Saudi Arabia and Turkey). 

As a strategic partner of Microsoft, the platform was developed by using .Net and Microsoft SQL Server technologies. Thanks to its Project Management Methodology, COBIT and ITIL aligned processes and organization, Intertech operates within the framework of International Standards.

inter-Vision Integrated Finance Platform consists of 6 product groups with more than 40 products:

- Infrastructure Management
- Financial Applications (Core Banking, Factoring, Leasing)
- Customer Relationship Management
- Business Process Management
- Business Intelligence 
- Delivery Channels Management"
Key Information Technology LLC,https://www.kit.ae/,Information Technology & Services,"Centralized in Dubai, KIT has been serving the IT needs of industries like Hospitality, Government, Education, Corporate, Healthcare and many more. For the past 35 years, KIT has helped the market understand that Technology can save your time, so you can do your jobs better. 

Since the very beginning, our goal has been simple - to assess, design, deploy and support everything your business will ever need. KIT believes in establishing long-term relationships by providing effective customer service and optimal solutions that are best suited to your industry needs.

As your Business and Technology Consultants, we not only offer you a comprehensive range of products, solutions and services but also provide 24/7 support. We have always been diligently proactive in aligning ourself with leading IT brands: Oracle Hospitality, DellEMC, APC, Microsoft, Symantec, Cisco, Forcive, Fortinet, Veritas, McAfee, SonicWall QikServe, Concept, Veeam, VMWare, ARCserve, Citrix, iRiS, Wefee1."
YIT - Yedioth Information Technology,http://www.yit.co.il/,Information Technology & Services,"yit specializes in advanced digital services from a holistic point of view, in order to ensure the precise solution for your project. Our team includes the very best in their fields – each and every one of them would gladly offer their expertise, creativity and experience. 

For the past two decades we have been operating as a central software home at the forefront of innovation and IT for media and businesses. yit was born out of a true demand to provide full digitized services for major companies and content producers, first for ""Yediot Aharonot"" brand, and later for a variety of different clients. We perceive ourselves as contributors to this constant developing field, and we have grown alongside it, setting standards and keading a clear line of innovation, creativity and reliability.

We offer a direct line to 170 experts in their fields, including UX/UI design, mobile and web development, & CMS, QA and a full Data Center for hosting services. We pride ourselves in hiring the very best minds in the market and offering advanced facilities. We are experienced and we are here to work. So you won't have to."
Crux Information Technology,http://www.crux-kw.com/,Computer Software,"Telephone:  22465341 - 22465342
  Fax: 22465342    EXT:106
  P.O.Box : 27193 Safat 13132 Kuwait
  E- mail : Info@crux-kw.com
  Location: Kuwait - Sharq -  Mobark El Kabeer
  Street - Al Andalus Tower 4Th Flower"
Athens Information Technology,http://www.ait.gr/,Research,"Athens Information Technology (AIT), an internationally-renowned nonprofit education and research center in the fields of information technology, telecommunications, and innovation management, was founded in 2002 by the INTRACOM group of companies. In creating AIT, INTRACOM’s purpose was to build on the track record of excellence set by Greek scientists and engineers both in Greece and abroad, and to enable Greece to play a significant future role in these fields.  

AIT’s mission is twofold:
1. To establish and maintain a center of excellence for research and education in the areas of information and communication technologies, innovation management and entrepreneurship; and
2. To foster the development of top level competitive professionals capable of creating technological and entrepreneurial breakthroughs

In its 15 years of existence, AIT has become a beacon of research and education excellence in the field of ICT in Greece and beyond, achieving an impressive number of important milestones that clearly form an outstanding record for any institution of its size and youth.

This is manifested by:

Private academia ranking, Research grant attraction, International recognition and distinctions in the Academic and Research arenas, Strong network of R&D partners, Industrial research excellence and Startup companies."
Information Technology Core,http://www.goitc.com/,Computer Networking,"Information Technology Core’s clients benefit greatly when they choose to partner with us. Not only will you have more energy and time to focus on your business while we handle your IT needs, but you’ll experience happier and more productive employees, too."
First For Information Technology (FIT),N/A,Telecommunications,"FIT provides high quality value-added services and keeps up with the latest techniques and enriches digital content library by establishing partnerships with leading Arabic culture intellectuals, the missionary and religious symbols in the Arab world, and through a team of excellence in the manufacture and production of content.
In 2007, FIT was the pioneering company that offered downloadable direct publishing content.

FIT goes along towards the universality, keeping up with its position in an accompaniment of latest technologies that invest a vast amount of digital content. It built this large amount of data through strategic partnership with major establishment in the field of knowledge and culture, in addition to the intimate partnership with a group of media companies, network operators and internet websites entirely in the kingdom of Saudi Arabia and abroad all over the world.

In spite of the rapid growth of communication technologies and the relentless competition of telecommunications operators to present additional options that keep customers in service and attract more to their lists, FIT is one of the pioneering companies in the kingdom of Saudi Arabia, Egypt, Sudan, Jordan and Morocco with offices over there that offer information technology since 2005. FIT was the first in establishing digital content to be presented via mobile communication networks as value-added technology. Nationally and internationally, this process made unrivaled success in the field of value-added technology that made our company at the top of Islamic digital content world."
Cell Information Technology,http://www.cellinfo.ae/,Computer Networking,"Cell Information Technology was established in 1997 and has since become a highly dynamic professional service provider. During these 20 years of experience in UAE market we achieved the highest level of specialization in Infrastructure design, advanced network solution integrated with storage products which primarily meet SMB’s & corporations for both public , private and local government sectors.

                   CIT committed itself to deliver the highest level of services, availability, capacity, performance and security while easing the administration and controlling costs. As it is one of the fastest growing Cisco select partner in UAE, one of the top IP communication specialists, accredited and specialized in advanced Unified communication, security, express foundation and SMB’s.

Our Product & Service Portfolio:
1) Hardware & Equipment
2) Software Licenses and Support Renewal Licenses 
3)Software Application : ERP, HRMS, e-Services, Collaborations, Enterprise Content Management, Middleware Integration, Educational System, ITSM and other Solutions 
4) Network and Security including; Active Networking Components, Passive Networking Components, and Network Security
5) Data Center Design and Implementation including; Raised Floor, Cooling, UPS, Rack, Cabling, Fire Detecting and Firefighting
6) Physical Security including; Access Doors, Time Attendance, CCTV Camera, and other low current systems
7) Mobility Solutions including; PDA, Mobile Applications, RFID Tagging
8) IT Consultancy Services & Outsourcing
9) System Integration - when it is come to a total solutions that include some or all of the above mentioned.

General Company Information:
    Cell Information Technology.
    Address: Abu Dhabi – Al Khaldiya st, P.O Box: 28265 Abu Dhabi.
    Phone: +971-263-94-700.
    Email: sales@cellinfo.ae"
"Shanghai Zhizi Information Technology Co., Ltd.",http://www.zhiziyun.com/,Marketing & Advertising,"Zhiziyun (Shanghai Sophons Information Technology Co., Ltd.; stock code: 835045) is a leading cloud-computing company based in Shanghai. Known for the first successful application of advanced data mining technology in Real Time Bidding in China, the company develops various online intelligent marketing solutions based on its big-data platform ""Zhiziyun"" for advertisers and adverting agencies. It is the first DSP platform in China able to do RTB on cross-screen and multi-screen basis, namely ""PC + mobile + video"". The company's products have been serving different fields including finance, E-commerce, big-data marketing, and winning compliments and achievements for its first-class data-mining technology, experience and service."
TaqniaTech For Information Technologies,http://www.taqniatech.com/,Information Technology & Services,"Taqniah Tech Company Ltd, was set up by Al Tayyar Travel Group in  2007 as a limited liability company   to provide fast technology information and service relating to computer products, programs, applications and networks. The company concluded contracts with Oracle and Microsoft corporations to provide such programming and networking services and facilities.
 
The company is now working for specialized programs designed to upgrade and develop Al Tayyar Travel Group’s performance  and website along with modernization of the communication and networking infrastructure of Al Tayyar Travel Group.


Taqniatech is a premier travel technology specialist with a focus on delivering world class products and solutions to the travel industry. The company offers integrated Digital platform for Travel Management Companies and Airlines which includes ERP, B2C, B2B, Portal for Corporate Self Booking, Content Management, Private Inventory application and rental cars.

Our software products and services reflect our fundamental thought process towards solution engineering i.e. 
1. Build smart and efficient solutions which can improve our customers efficiency in every area of business operations
2. Use technology at the level best to achieve business goals
3. Design applications for best user experience


 Our Vision:  Taqniatech will be recognized as a high performance team providing technology excellence that advances in alignment with our customer’s mission and goals.

Our Mission: Information Technology Services provides secure, reliable, and integrated technology solutions, while delivering excellence in customer service."
"Guangzhou Huiruisitong Information Technology Co.,Ltd.",https://hrst-china.com/,Information Technology & Services,"Guangzhou Huiruisitong Information Technology Co.,Ltd.， was founded in 2000, focusing on advanced technology development of the criminal investigation, anti-terrorism, and border control.

We staffed and operated in the city of Guangzhou, China, after nearly two decades’ growth, we have become the national leader in this dynamic field, supporting law enforcement agencies across China with direction finding, intelligence analysis, and event analysis solutions and professional services.

Application Areas
Criminal Investigation, Digital Forensic, Financial Investigation, Narcotic, Border Control, Customs, National Security, and etc."
Ayla Information Technology,http://www.aylait.com/,Computer Software,"Ayla Information Technology was founded in 2002. Since its very beginning, Ayla's mission has been dedicated to utilizing the latest and most robust technologies to be a first class provider of intelligent software solutions to the business community. Considered one of Jordan's growing developers of business software solutions, Ayla provides enterprises with their information system needs; to compete in today's connected economy. It builds closer relationships with customers, designs and integrates business processes, making our customers more responsive, more competent and ultimately more profitable. The company derives its strength from its board of directors, who are well known businessmen with long and deep experiences, as well as its technical team who are highly qualified and proficient programmers and system designers. In order to guarantee continuous and consistent quality of its products, Ayla has adopted and installed process development systems for every task done by its employees."
"Beijing Hisunsray Information Technology Co., Ltd.",http://www.hisunsray.com/,Telecommunications,"Beijing Hisunsray Information Technology Co., Ltd. under Hisun Technology (China) Limited is a wholly-foreign-funded high-tech company mainly engaged in the development of value-added software, system integration and operation service for telecom industry. Established in Jun. 2000, Hisunsray, former Beijing Sunsray Technology Development Co., Ltd. established in 1995, is a computer system integration provider of Class B qualification, and ISO9001 certified high-tech & Software Company in Beijing.

Hi Sun Technology (China) Limited is a Hong Kong based information system consultancy and integration service provider invested by international capital and managed by specialists from China and abroad. We are mainly engaged in service consultancy and operation support for various industries including telecom, finance and insurance, which is supplemented by system integration and software development. With nearly 1000 employees and annual sales of over 1 billion Yuan, we are an industrial leader in computer application development and system integration. Hi Sun is listed on the SEHK (Stock Code No. 0818) in 2002. Presently there are four companies under Hi Sun: Beigjing Hisunsray Information Technology Limited, Beijing Hi Sun Advanced Business Solutions Information Technology Limited, Pax Technology Limited, and Pax Hualong Inc."
e-Stone Information Technology Private Limited,http://www.e-stonetech.com/,Information Technology & Services,"e-Stone Information Technology is a Technology Consulting company offering spectrum of IT solutions & services in multiple domains. We provide expert Software development services spanning a range technologies like Microsoft, Open Source and Mobile combining industry knowledge with the best of technology available to cater our customer's business requirements. The company is domain agnostic providing solutions in varied domains including Healthcare, BFSI, Education, ERP, etc. A trusted partner to ISVs, we also manage end-to-end product developments.

Our customers are located across various geographies such as India, US, UK,  Middle East and Africa.

e-Stone combines Industry knowledge with the best technology available to cater to customers' business needs."
Dodoca Information Technology (HK) Ltd,N/A,Information Technology & Services,"Dodoca is the leading developer of WeChat Marketing software, which enables to harness the power of social media referral marketing to build profitable O2O business. The headquarter is in Shanghai, a listed company (stock code: 430177) and we serve more than 2 million business users across China, Singapore as well as other regional markets. We are supported by a team of over 400 programmers & technicians who confinuously upgrade the Dodoca WeChat CRM system & mobile social business. For details, you may kindly have a quick look at: http://dodoca.com.hk/en/"
Arrow Information Technology,http://www.arrowcits.com/,Information Technology & Services,"We are the trusted advisor and counselor team to many influential businesses and institutions in Saudi for more 5 years. We have started as local organization, with great passion to be a global organization and cover multiple countries.

We operate as one firm, bringing the best experts from around region and from our external network to each engagement.
 
We value diversity. We hire as many PMP, RMP, SMP, PMOC, Prince2, ITIL, ISO, OPM3 as well as certified instructors from Oracle, Microsoft and PMI. The richness of our backgrounds gives Arrow the range of expertise we need to tackle our clients’ most complex problems.
 
We are diverse, but we all have one thing in common: we are exceptional problem solvers. We bring intellectual curiosity and a passion for world-shaping impact to each new challenge."
USC Information Technology Services (ITS),https://itservices.usc.edu/,Information Technology & Services,"Bringing together a team of diverse and talented professionals, we provide the central IT services that support USC's schools, hospitals, research centers, and administrative units. Through the digital transformation initiatives we recently launched, we aim to develop an environment of continuous service improvement, founded on cross-functional teamwork, industry best practices, innovation, and a commitment to the customer experience. "
Adapt Information Technologies (Pvt) Ltd,http://www.ait.lk/,Information Technology & Services,"We deliver solutions beyond customer expectations.

Adapt Information Technologies (Pvt) Ltd was founded in 2009, and since then the key characteristic of our service is the relationship that we build with our clients and vendors. We focus on delivering quality over quantity, thereby securing the confidence of all our clients. It is with pride that we say that as much as 80% of our client base consists of clients we have secured by building and nurturing relationships over a long period of time.

We are armed with the right skillset and attitude experts, who can deliver the most sophisticated and sustainable solution that result in maximum ROI for the client.

We deliver well-thought of solutions and execute seamlessly to give our clients the maximum service coverage."
Adjust Systems Information Technology,http://www.adjustsystems.com/,Information Technology & Services,"Adjust Systems Information Technology (Adjust Systems IT) is a regional software development and IT service provider company based in the Jordan with looking to open new branches in Middle East in near future. We employ highly qualified software development engineers in several countries; however, as a Jordan registered company, we can provide our clients with the security, operational development framework and IT professional services provider they require."
SIRE Information Technology,http://www.sire-search.com/,Staffing & Recruiting,"SIRE Information Technology is a company with close ties to SIRE Life Sciences. Over the past 5 years SIRE Life Sciences has developed into the market leader for professionals in the Life Sciences industry. This success is based on very niche focus and the reversed recruitment strategy. Our transparent way of communication and process will enable all parties to come to the desired results. 

At SIRE Information Technology we will adapt the method of working and we will offer the following services: 
- Interim/ Freelance Recruitment 
- Delivery of Resources to MSP programs 
- Retained permanent Recruitment 
- Online vacancies on www.sire-search.com 

Next to that we will be fully backed by a proven back office and network of facilitating companies on Pay-rolling, knowledge migrants, factoring, etc. 

We will focus on the following niche areas: 
- Business Intelligence (BI) - ERP (SAP, Navision, JD Edwards, etc.) 
- Business & Information Analysis 
- Data Science - Software development 
- Web development 
- Application development 
- Mobile/ App development 
- Project Management (Agile, Scrum, Prince 2, etc.) 

For more information please contact us at sireit@sire-search.com or +31(0)10-3161066"
Unique Solutions Information Technology & Services,http://www.uniqueits.com/,Information Technology & Services,"Unique solutions Information Technology Services ( Unique Solutions) is an IT services provider and a professional consulting organization, providing a wide range of IT solutions including the strategic business consulting, development, integration, implementation and full life cycle support of enterprise IT solutions. Unique Solutions is established in 2002 and provide solutions and services to clients in Middle east, Africa and USA. We provide innovative, cost effective IT solutions/services and improves our client's business performance by smartly integrating business objectives and information technology."
Information Technology and Services Co. (ITSC),http://www.itscegypt.com/,Information Technology & Services,"Composed of a team of experts in various areas and fields related to technology and business development, ITSC provides its clients and partners with innovative solutions. With our dedication to helping organisations create value, ITSC earned a position among the top electronic service providers in Egypt.

ITSC has over 15 years of experience in providing services and solutions to a wide variety of industries and fields. Our flexibility and extensive awareness of the field within which ITSC's services are provided has built a great deal of trust and credibility among our clients, and partners.

With our carefully handpicked team of young talents and extensive network of outlets, ITSC engages on daily basis with 140 companies and 4 different government authorities to oversee and support approximately 70,000 transactions amounting to EGP200 Million.

Thanks to our admirable portfolio of ventures with key local and international powerhouses, ITSC is continuously striving on upholding its reputation of quality and aptitude."
Raya Information Technology,http://www.rayacorp.com/,Information Technology & Services,"Through its Information Technology division, Raya provides businesses with the ideal mix of technology solutions to meet the unique requirements of their operations. The division provides clientele in Egypt, the Middle East, and North Africa with a broad spectrum of world-class technology products, in addition to offering numerous valued added services to their businesses. The IT business is predominantly project-based, addressing both private and public sectors. The services Raya offers include infrastructure services, business applications and solutions as well as outsourcing services."
Pancyber Information Technology,http://www.pancyber.com/,Information Technology & Services,"Pan Cyber is a progressive software company providing total Information Technology solutions to diverse business environments. Established in 1997 and headquartered in Dubai , Pan Cyber is part of a large multinational group and has a large offshore development facility at Chennai , India along with associate offices in USA and Singapore .  

Since inception, Pan Cyber has been committed to total client satisfaction through quality service, coupled with on-time support and strongly believes in its corporate philosophy - ""Responsible Relationships"" which helps it to offer solutions that maximizes value for its customers."
North Carolina Department of Information Technology,http://it.nc.gov/,Information Technology & Services,"The N.C. Department of Information Technology promotes a stronger North Carolina through broadband, public safety, healthcare, cybersecurity and customer service. Follow us on social media:

Twitter: @NCDIT, @BroadbandIO, @NCiCenter
Facebook: @NCDIT
YouTube: NCDIT
Flickr: NC DIT "
Nano Information Technology,http://www.nanoit.biz/,Computer Software,"Nano Information Technology (Nanosoft) is a Canada, Bangladesh joint Venture company. Nano Information Technology (Nanosoft) is one of the leading providers of software and communications solutions in Bangladesh. Our principal activities include local, national and international software development and maintenance services, network services and higher-value broadband internet services.
We provide Desktop, Web based software, E-commerce site, Dynamic website and static website using latest technology. We also provide higher-value internet services, including corporate training.
Over the last four years, Nano Information Technology (Nanosoft) has established itself as a consistent and reliable software and communication services company through its commitment and dedication towards quality, innovation and customer satisfaction. The company specializes in software solutions that provide competitive advantage by improving decision-making process and enhancing business performance of customers. Nanosoft believes in a unique, upscale and innovative work environment to provide better customer satisfaction through quality innovation. We continually strive to build such an atmosphere, which will spawn innovation in delivering higher value for money to our customers.
At Nanosoft, we bring talents, technologies and values in one platform and transform the potential of a group dedicated professionals into the reality with a dream to introduce quality software solutions to the world market. We are organized under the leadership of internationally experienced specialists in the fields of Business and Information Technology with a focus in software development."
